Driver,Team,Compound,TrackStatus,LapNumber,LapNumber_filled,LapNumberSquared,RaceProgress,Stint,Stint_filled,PreviousLapTimeSeconds,PreviousLapTimeDelta,PreviousLapTimeRollingMean3,PreviousLapTimeRollingStd3,IsSoft,IsMedium,IsHard,Target_NextLapTimeSeconds
ALB,Williams,HARD,1,33.0,33.0,1089.0,0.6226415094339622,2.0,2.0,84.412,-0.8169999999999931,84.79833333333333,0.4103002965305982,0,0,1,85.57
ALB,Williams,HARD,1,34.0,34.0,1156.0,0.6415094339622641,2.0,2.0,86.282,1.8699999999999903,85.30766666666666,0.9374787108692743,0,0,1,84.994
ALB,Williams,HARD,1,35.0,35.0,1225.0,0.660377358490566,2.0,2.0,85.57,-0.7120000000000033,85.42133333333334,0.9438227234672407,0,0,1,84.748
ALB,Williams,HARD,1,36.0,36.0,1296.0,0.6792452830188679,2.0,2.0,84.994,-0.5759999999999934,85.61533333333334,0.6451955775833667,0,0,1,85.882
ALB,Williams,HARD,1,37.0,37.0,1369.0,0.6981132075471698,2.0,2.0,84.748,-0.2459999999999951,85.104,0.42189572171306083,0,0,1,85.214
ALB,Williams,HARD,1,38.0,38.0,1444.0,0.7169811320754716,2.0,2.0,85.882,1.1340000000000003,85.20800000000001,0.5965199074631101,0,0,1,84.971
ALB,Williams,HARD,1,39.0,39.0,1521.0,0.7358490566037735,2.0,2.0,85.214,-0.6680000000000064,85.28133333333334,0.5699906431978812,0,0,1,84.552
ALB,Williams,HARD,1,40.0,40.0,1600.0,0.7547169811320755,2.0,2.0,84.971,-0.242999999999995,85.35566666666666,0.4717333286223691,0,0,1,84.372
ALB,Williams,HARD,1,41.0,41.0,1681.0,0.7735849056603774,2.0,2.0,84.552,-0.41899999999999693,84.91233333333334,0.33487659418521065,0,0,1,84.874
ALB,Williams,HARD,1,42.0,42.0,1764.0,0.7924528301886793,2.0,2.0,84.372,-0.18000000000000682,84.63166666666667,0.30734399836836673,0,0,1,84.669
ALB,Williams,HARD,1,43.0,43.0,1849.0,0.8113207547169812,2.0,2.0,84.874,0.5019999999999953,84.59933333333333,0.25432525107242027,0,0,1,84.678
ALB,Williams,HARD,1,44.0,44.0,1936.0,0.8301886792452831,2.0,2.0,84.669,-0.2049999999999983,84.63833333333332,0.25240113576023165,0,0,1,84.569
ALB,Williams,HARD,1,45.0,45.0,2025.0,0.8490566037735849,2.0,2.0,84.678,0.009000000000000341,84.74033333333334,0.11584616235796043,0,0,1,84.554
ALB,Williams,HARD,1,46.0,46.0,2116.0,0.8679245283018868,2.0,2.0,84.569,-0.10899999999999466,84.63866666666667,0.06050068869902992,0,0,1,84.383
ALB,Williams,HARD,1,47.0,47.0,2209.0,0.8867924528301887,2.0,2.0,84.554,-0.015000000000000568,84.60033333333334,0.06767815994139506,0,0,1,84.149
ALB,Williams,HARD,1,48.0,48.0,2304.0,0.9056603773584906,2.0,2.0,84.383,-0.17100000000000648,84.502,0.1033295698225256,0,0,1,84.262
ALB,Williams,HARD,1,49.0,49.0,2401.0,0.9245283018867925,2.0,2.0,84.149,-0.23399999999999466,84.36200000000001,0.20331502649751837,0,0,1,83.956
ALB,Williams,HARD,1,50.0,50.0,2500.0,0.9433962264150944,2.0,2.0,84.262,0.11299999999999955,84.26466666666666,0.11702278980184189,0,0,1,83.921
ALB,Williams,HARD,1,51.0,51.0,2601.0,0.9622641509433962,2.0,2.0,83.956,-0.3059999999999974,84.12233333333334,0.15473310354604372,0,0,1,83.955
ALB,Williams,HARD,1,52.0,52.0,2704.0,0.9811320754716981,2.0,2.0,83.921,-0.03499999999999659,84.04633333333334,0.18759086686985324,0,0,1,83.918
ALO,Aston Martin,MEDIUM,1,1.0,1.0,1.0,0.018867924528301886,1.0,1.0,,,,,0,1,0,87.236
ALO,Aston Martin,MEDIUM,1,2.0,2.0,4.0,0.03773584905660377,1.0,1.0,92.411,,92.411,,0,1,0,86.41
ALO,Aston Martin,MEDIUM,1,3.0,3.0,9.0,0.05660377358490566,1.0,1.0,87.236,-5.174999999999997,89.8235,3.659277592640376,0,1,0,86.411
ALO,Aston Martin,MEDIUM,1,4.0,4.0,16.0,0.07547169811320754,1.0,1.0,86.41,-0.8260000000000076,88.68566666666668,3.2525605810396994,0,1,0,86.218
ALO,Aston Martin,MEDIUM,1,5.0,5.0,25.0,0.09433962264150944,1.0,1.0,86.411,0.0010000000000047748,86.68566666666668,0.4766029094888896,0,1,0,85.911
ALO,Aston Martin,MEDIUM,1,6.0,6.0,36.0,0.11320754716981132,1.0,1.0,86.218,-0.19299999999999784,86.34633333333333,0.11114105152131272,0,1,0,85.95
ALO,Aston Martin,MEDIUM,1,7.0,7.0,49.0,0.1320754716981132,1.0,1.0,85.911,-0.30700000000000216,86.17999999999999,0.25215669731324664,0,1,0,85.693
ALO,Aston Martin,MEDIUM,1,8.0,8.0,64.0,0.1509433962264151,1.0,1.0,85.95,0.03900000000000148,86.02633333333334,0.16712969016082205,0,1,0,85.969
ALO,Aston Martin,MEDIUM,1,9.0,9.0,81.0,0.16981132075471697,1.0,1.0,85.693,-0.257000000000005,85.85133333333333,0.13850030084172962,0,1,0,85.832
ALO,Aston Martin,MEDIUM,1,10.0,10.0,100.0,0.18867924528301888,1.0,1.0,85.969,0.27599999999999625,85.87066666666665,0.15415684653381456,0,1,0,85.758
ALO,Aston Martin,MEDIUM,1,11.0,11.0,121.0,0.20754716981132076,1.0,1.0,85.832,-0.13700000000000045,85.83133333333335,0.138001207723874,0,1,0,89.74
ALO,Aston Martin,MEDIUM,1,12.0,12.0,144.0,0.22641509433962265,1.0,1.0,85.758,-0.07399999999999807,85.853,0.10705606008029231,0,1,0,105.594
ALO,Aston Martin,HARD,1,13.0,13.0,169.0,0.24528301886792453,2.0,2.0,89.74,3.9819999999999993,87.11,2.2779473216033685,0,0,1,85.832
ALO,Aston Martin,HARD,1,14.0,14.0,196.0,0.2641509433962264,2.0,2.0,105.594,15.854,93.69733333333333,10.49343077040743,0,0,1,84.67
ALO,Aston Martin,HARD,1,15.0,15.0,225.0,0.2830188679245283,2.0,2.0,85.832,-19.762,93.722,10.465486324103631,0,0,1,84.614
ALO,Aston Martin,HARD,1,16.0,16.0,256.0,0.3018867924528302,2.0,2.0,84.67,-1.161999999999992,92.032,11.759398113849194,0,0,1,84.574
ALO,Aston Martin,HARD,1,17.0,17.0,289.0,0.32075471698113206,2.0,2.0,84.614,-0.055999999999997385,85.03866666666666,0.6876171415352365,0,0,1,84.882
ALO,Aston Martin,HARD,1,18.0,18.0,324.0,0.33962264150943394,2.0,2.0,84.574,-0.04000000000000625,84.61933333333333,0.048221710184192676,0,0,1,85.314
ALO,Aston Martin,HARD,1,19.0,19.0,361.0,0.3584905660377358,2.0,2.0,84.882,0.30800000000000693,84.69,0.16747537132294005,0,0,1,85.676
ALO,Aston Martin,HARD,1,20.0,20.0,400.0,0.37735849056603776,2.0,2.0,85.314,0.43199999999998795,84.92333333333333,0.3717274987582823,0,0,1,85.297
ALO,Aston Martin,HARD,1,21.0,21.0,441.0,0.39622641509433965,2.0,2.0,85.676,0.362000000000009,85.29066666666667,0.3975139410550146,0,0,1,85.451
ALO,Aston Martin,HARD,1,22.0,22.0,484.0,0.41509433962264153,2.0,2.0,85.297,-0.3790000000000049,85.42899999999999,0.21407708891835878,0,0,1,85.017
ALO,Aston Martin,HARD,1,23.0,23.0,529.0,0.4339622641509434,2.0,2.0,85.451,0.15399999999999636,85.47466666666666,0.19060517656425516,0,0,1,84.588
ALO,Aston Martin,HARD,1,24.0,24.0,576.0,0.4528301886792453,2.0,2.0,85.017,-0.4339999999999975,85.255,0.22002727103646957,0,0,1,84.504
ALO,Aston Martin,HARD,1,25.0,25.0,625.0,0.4716981132075472,2.0,2.0,84.588,-0.42900000000000205,85.01866666666666,0.4315024140524472,0,0,1,84.937
ALO,Aston Martin,HARD,1,26.0,26.0,676.0,0.49056603773584906,2.0,2.0,84.504,-0.08399999999998897,84.703,0.2751563192073837,0,0,1,84.891
ALO,Aston Martin,HARD,1,27.0,27.0,729.0,0.5094339622641509,2.0,2.0,84.937,0.4329999999999927,84.67633333333333,0.2296177983804629,0,0,1,84.725
ALO,Aston Martin,HARD,1,28.0,28.0,784.0,0.5283018867924528,2.0,2.0,84.891,-0.04599999999999227,84.77733333333335,0.23782836948751745,0,0,1,85.011
ALO,Aston Martin,HARD,1,29.0,29.0,841.0,0.5471698113207547,2.0,2.0,84.725,-0.16600000000001103,84.851,0.11151681487453047,0,0,1,85.039
ALO,Aston Martin,HARD,1,30.0,30.0,900.0,0.5660377358490566,2.0,2.0,85.011,0.28600000000000136,84.87566666666666,0.1436152266756377,0,0,1,85.128
ALO,Aston Martin,HARD,1,31.0,31.0,961.0,0.5849056603773585,2.0,2.0,85.039,0.028000000000005798,84.925,0.17376996288128868,0,0,1,85.099
ALO,Aston Martin,HARD,1,32.0,32.0,1024.0,0.6037735849056604,2.0,2.0,85.128,0.08899999999999864,85.05933333333333,0.061092825545255344,0,0,1,85.289
ALO,Aston Martin,HARD,1,33.0,33.0,1089.0,0.6226415094339622,2.0,2.0,85.099,-0.028999999999996362,85.08866666666667,0.04539089482599366,0,0,1,85.083
ALO,Aston Martin,HARD,1,34.0,34.0,1156.0,0.6415094339622641,2.0,2.0,85.289,0.18999999999999773,85.17200000000001,0.10235721762422588,0,0,1,89.799
ALO,Aston Martin,HARD,1,35.0,35.0,1225.0,0.660377358490566,2.0,2.0,85.083,-0.20600000000000307,85.157,0.11459493880522394,0,0,1,104.152
ALO,Aston Martin,HARD,1,36.0,36.0,1296.0,0.6792452830188679,3.0,3.0,89.799,4.716000000000008,86.72366666666669,2.6653077370789964,0,0,1,83.703
ALO,Aston Martin,HARD,1,37.0,37.0,1369.0,0.6981132075471698,3.0,3.0,104.152,14.352999999999994,93.01133333333333,9.932069488950091,0,0,1,83.847
ALO,Aston Martin,HARD,1,38.0,38.0,1444.0,0.7169811320754716,3.0,3.0,83.703,-20.448999999999998,92.55133333333333,10.498662025864688,0,0,1,83.77
ALO,Aston Martin,HARD,1,39.0,39.0,1521.0,0.7358490566037735,3.0,3.0,83.847,0.14399999999999125,90.56733333333334,11.764886753952766,0,0,1,83.683
ALO,Aston Martin,HARD,1,40.0,40.0,1600.0,0.7547169811320755,3.0,3.0,83.77,-0.07699999999999818,83.77333333333333,0.07205784712957654,0,0,1,83.822
ALO,Aston Martin,HARD,1,41.0,41.0,1681.0,0.7735849056603774,3.0,3.0,83.683,-0.08699999999998909,83.76666666666667,0.0820507972718663,0,0,1,83.637
ALO,Aston Martin,HARD,1,42.0,42.0,1764.0,0.7924528301886793,3.0,3.0,83.822,0.1389999999999958,83.75833333333334,0.07023057263720013,0,0,1,83.681
ALO,Aston Martin,HARD,1,43.0,43.0,1849.0,0.8113207547169812,3.0,3.0,83.637,-0.18500000000000227,83.714,0.09631718434223188,0,0,1,83.529
ALO,Aston Martin,HARD,1,44.0,44.0,1936.0,0.8301886792452831,3.0,3.0,83.681,0.04399999999999693,83.71333333333332,0.09664539995752171,0,0,1,83.484
ALO,Aston Martin,HARD,1,45.0,45.0,2025.0,0.8490566037735849,3.0,3.0,83.529,-0.15200000000000102,83.61566666666666,0.07821338333655266,0,0,1,82.944
ALO,Aston Martin,HARD,1,46.0,46.0,2116.0,0.8679245283018868,3.0,3.0,83.484,-0.045000000000001705,83.56466666666667,0.10322951774057341,0,0,1,83.221
ALO,Aston Martin,HARD,1,47.0,47.0,2209.0,0.8867924528301887,3.0,3.0,82.944,-0.539999999999992,83.319,0.32553801621257483,0,0,1,83.245
ALO,Aston Martin,HARD,1,48.0,48.0,2304.0,0.9056603773584906,3.0,3.0,83.221,0.277000000000001,83.21633333333334,0.2700302452188517,0,0,1,83.525
ALO,Aston Martin,HARD,1,49.0,49.0,2401.0,0.9245283018867925,3.0,3.0,83.245,0.02400000000000091,83.13666666666667,0.16728518563506192,0,0,1,83.511
ALO,Aston Martin,HARD,1,50.0,50.0,2500.0,0.9433962264150944,3.0,3.0,83.525,0.28000000000000114,83.33033333333333,0.16901282002545387,0,0,1,83.468
ALO,Aston Martin,HARD,1,51.0,51.0,2601.0,0.9622641509433962,3.0,3.0,83.511,-0.014000000000010004,83.427,0.15777198737298112,0,0,1,83.761
ALO,Aston Martin,HARD,1,52.0,52.0,2704.0,0.9811320754716981,3.0,3.0,83.468,-0.042999999999992156,83.50133333333333,0.029704096231890492,0,0,1,83.686
BOT,Kick Sauber,HARD,1,1.0,1.0,1.0,0.018867924528301886,1.0,1.0,,,,,0,0,1,88.377
BOT,Kick Sauber,HARD,1,2.0,2.0,4.0,0.03773584905660377,1.0,1.0,96.375,,96.375,,0,0,1,86.918
BOT,Kick Sauber,HARD,1,3.0,3.0,9.0,0.05660377358490566,1.0,1.0,88.377,-7.998000000000005,92.376,5.655440035930015,0,0,1,86.324
BOT,Kick Sauber,HARD,1,4.0,4.0,16.0,0.07547169811320754,1.0,1.0,86.918,-1.458999999999989,90.55666666666667,5.09135761200619,0,0,1,88.242
BOT,Kick Sauber,HARD,1,5.0,5.0,25.0,0.09433962264150944,1.0,1.0,86.324,-0.5940000000000083,87.20633333333335,1.056434727436307,0,0,1,86.499
BOT,Kick Sauber,HARD,1,6.0,6.0,36.0,0.11320754716981132,1.0,1.0,88.242,1.9180000000000064,87.16133333333333,0.9818805086839373,0,0,1,86.359
BOT,Kick Sauber,HARD,1,7.0,7.0,49.0,0.1320754716981132,1.0,1.0,86.499,-1.7430000000000092,87.02166666666666,1.0604557196476596,0,0,1,86.206
